TIMESTAMP,Sand_Precip,Slate_Precip,Rad
2017-04-11 09:50:00,0.0,0.0,616.93
2017-04-11 10:50:00,0.0,0.0,658.87
2017-04-11 11:50:00,0.0,0.0,773.38
2017-04-11 12:50:00,0.0,0.0,776.61
2017-04-11 13:50:00,0.0,0.0,562.9
2017-04-11 14:50:00,0.0,0.0,332.26
2017-04-11 15:50:00,0.0,0.0,304.84
2017-04-11 16:50:00,0.0,0.0,259.68
2017-04-11 17:50:00,0.0,0.0,221.77
2017-04-11 18:50:00,0.0,0.0,41.93
2017-04-11 19:50:00,0.0,0.0,0.81
2017-04-11 20:50:00,0.0,0.0,0.81
2017-04-11 21:50:00,0.0,0.0,0.81
2017-04-11 22:50:00,0.0,0.0,0.81
2017-04-11 23:50:00,0.0,0.0,0.81
2017-04-12 00:50:00,0.0,0.0,0.81
2017-04-12 01:50:00,0.0,0.0,0.81
2017-04-12 02:50:00,0.0,0.0,0.81
2017-04-12 03:50:00,0.0,0.0,0.81
2017-04-12 04:50:00,0.0,0.0,0.81
2017-04-12 05:50:00,0.0,0.0,0.81
2017-04-12 06:50:00,0.0,0.0,58.06
2017-04-12 07:50:00,0.0,0.0,152.42
2017-04-12 08:50:00,0.0,0.0,409.68
2017-04-12 09:50:00,0.0,0.0,463.71
2017-04-12 10:50:00,0.0,0.0,640.32
2017-04-12 11:50:00,0.0,0.0,786.29
2017-04-12 12:50:00,0.0,0.0,553.22
2017-04-12 13:50:00,0.0,0.0,465.32
2017-04-12 14:50:00,0.0,0.0,605.64
2017-04-12 15:50:00,0.0,0.0,579.84
2017-04-12 16:50:00,0.0,0.0,237.1
2017-04-12 17:50:00,0.0,0.0,105.64
2017-04-12 18:50:00,0.0,0.0,46.77
2017-04-12 19:50:00,0.0,0.0,0.81
2017-04-12 20:50:00,0.0,0.0,0.81
2017-04-12 21:50:00,0.0,0.0,0.81
2017-04-12 22:50:00,0.0,0.0,0.81
2017-04-12 23:50:00,0.0,0.0,0.81
2017-04-13 00:50:00,0.0,0.0,0.81
2017-04-13 01:50:00,0.0,0.0,0.81
2017-04-13 02:50:00,0.0,0.0,0.81
2017-04-13 03:50:00,0.0,0.0,0.81
2017-04-13 04:50:00,0.0,0.0,0.81
2017-04-13 05:50:00,0.0,0.0,1.61
2017-04-13 06:50:00,0.0,0.0,53.22
2017-04-13 07:50:00,0.0,0.0,160.48
2017-04-13 08:50:00,0.0,0.0,345.16
2017-04-13 09:50:00,0.0,0.0,220.97
2017-04-13 10:50:00,0.0,0.0,363.71
2017-04-13 11:50:00,0.0,0.0,681.45
2017-04-13 12:50:00,0.0,0.0,358.87
2017-04-13 13:50:00,0.0,0.0,719.35
2017-04-13 14:50:00,0.0,0.0,264.51
2017-04-13 15:50:00,0.0,0.0,268.55
2017-04-13 16:50:00,0.0,0.0,280.64
2017-04-13 17:50:00,0.0,0.0,90.32
2017-04-13 18:50:00,0.0,0.0,28.22
2017-04-13 19:50:00,0.0,0.0,0.81
2017-04-13 20:50:00,0.0,0.0,0.81
2017-04-13 21:50:00,0.0,0.0,0.81
2017-04-13 22:50:00,0.0,0.0,0.81
2017-04-13 23:50:00,0.0,0.0,0.81
2017-04-14 00:50:00,0.0,0.0,0.81
2017-04-14 01:50:00,0.0,0.0,0.81
2017-04-14 02:50:00,0.0,0.0,0.81
2017-04-14 03:50:00,0.0,0.0,0.81
2017-04-14 04:50:00,0.0,0.0,0.81
